customer_id,payment_method,total_amount,individual_customer_spending_rank
2,"Credit Card",393.26,1
2,"Debit Card",395.2465,2
3,"Debit Card",169.07330000000002,1
3,"Debit Card",254.13,2
4,PayPal,219.66340000000002,1
4,PayPal,260.997,2
4,PayPal,288.68,3
7,PayPal,162.6845,1
7,"Credit Card",245.685,2
7,"Credit Card",317.38,3
9,"Credit Card",79.46070000000002,1
9,"Debit Card",458.36,2
11,"Debit Card",421.94,1
13,"Credit Card",297.76,1
14,"Debit Card",182.63,1
15,"Debit Card",215.15,1
16,PayPal,121.79,1
17,"Debit Card",194.54,1
18,PayPal,431.86,1
19,"Credit Card",358.45,1
21,PayPal,78.5411,1
21,PayPal,178.71,2
22,PayPal,131.8779,1
22,"Debit Card",332.58,2
22,"Credit Card",403.64,3
24,PayPal,218.51,1
25,"Credit Card",128.46,1
27,"Debit Card",215.12590000000003,1
27,"Debit Card",249.68,2
29,"Debit Card",184.90010000000004,1
